,customer_id,gross_revenue,recency_days,qtde_invoices,qtde_items,qtde_products,avg_ticket,avg_recency_days,frequency,qtde_returns,avg_basket_size,avg_unique_basket_size,revenue_returned,cluster
2,12583,6705.38,2.0,15,5028,232,28.9025,-5.462231224143265,0.04043126684636118,50.0,335.2,7.6,-76.03999999999999,8
5,15291,4623.3,25.0,14,2102,102,45.326470588235296,-3.178549616733361,0.04011461318051576,29.0,150.14285714285714,4.357142857142857,-71.79,8
6,14688,5630.87,7.0,21,3621,327,17.219785932721713,-3.1423174439862795,0.05722070844686648,399.0,172.42857142857142,7.0476190476190474,-523.49,8
7,17809,5411.91,15.0,12,2057,61,88.71983606557377,-2.714442357050744,0.0335195530726257,41.0,171.41666666666666,3.8333333333333335,-67.06,8
8,15311,60767.9,1.0,91,38194,2379,25.543463640184953,-1.765182756024118,0.24331550802139038,474.00000000000006,419.7142857142857,6.230769230769231,-1348.56,8
12,16029,72882.09,38.0,62,40207,241,302.4153112033195,-1.7662177253980444,0.18452380952380953,8004.0,648.5,0.6935483870967742,-14688.24,8
14,12431,6382.45,35.0,15,2899,233,27.392489270386264,-2.9664176587128916,0.04424778761061947,50.0,193.26666666666668,10.8,-71.06,8
15,17511,91062.38,2.0,31,64549,963,94.5611422637591,-2.0218358910994056,0.0862533692722372,1535.0,2082.2258064516127,14.612903225806452,-2924.18,8
18,13408,28117.04,1.0,62,16232,478,58.82225941422595,-2.0634019254549183,0.16666666666666666,104.0,261.80645161290323,3.774193548387097,-228.66,8
19,13767,17220.36,1.0,37,7322,368,46.79445652173913,-2.1901161916305405,0.09946236559139784,64.0,197.8918918918919,1.4864864864864864,-274.65000000000003,8
23,15513,14758.220000000001,32.0,19,5709,308,47.91629870129871,-3.2174977079775515,0.05571847507331378,164.0,300.4736842105263,9.631578947368421,-238.14000000000001,8
25,16218,3084.68,29.0,7,2088,84,36.72238095238095,-3.71417724607243,0.020348837209302327,11.0,298.2857142857143,8.0,-29.810000000000002,8
